h,B18-01,B18-02,B18-03,B18-04,B18-05,B18-06,B17-01,B17-02,B17-03,B17-08,B17-05,B17-06,B17-07,B16-SE-01,B16-RO-01,B16-DS-01,B16-DS-02,B15-01 (SE),B15-03 (RO),B15-02 (DS),M18-SE-01,M18-SE-02,M18-DS-01,M18-DS-02,M18-RO-01,M18-RO-02,,,GROUP,№ of Stud.,№ of Groups,Course name,Instructor's name,Tutorial's Instructor,TA's name,,,,
17:20-18:50,,,,,,,Physics I                                                                                                                                                                                                                                                                                                                                       Victor Nikiforov                   314,,Physics I                                                                                                                                                                                                                                                                                                                                       Alexey Shikulin                                                          312,,,,,,,,,,,,,,,,,Sensation and Perception                           Geesara Prathap                                                   320,,,,,,,,,,,,,
18:55-20:25,,,,,,,,Physics I                                                                                                                                                                                                                                                                                                                                       Victor Nikiforov                   314,,,,,Physics I                                                                                                                                                                                                                                                                                                                                       Alexey Shikulin                                                          312,,,,,,,,,,,,,,,,,,,,,,,,,,
20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00-10:30,"Analytical Geometry and Linear Algebra I   
Sergey Gorodetskiy
108",,,,,,Data Modeling and Databases I                                                                                                                                                                                                                                                     Manuel Mazzara                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            105                                                                                                                                                                                                                                                                                                           ,,,,,,,,,,,,,,,,Optimization I                                                                                                                                   Andrey Tremba / Elena Gryazina                                                                                                                                                       107                                                                                                                                                                      Nov 9/10                                                    ,,,,,,M18-SE,,,Metrics and Empirical Methods for Software Engineers and Data Scientists                ,Giancarlo Succi   ,,Alexey Shikulin ,,,,
10:35-12:05,"Analytical Geometry and Linear Algebra I (tutorial)   
Sergey Gorodetskiy
108",,,,,,Data Modeling and Databases I (tutorial)                                                                                                                                                                                                                        JooYoung Lee                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            105,,,,,,,,,,,,,,,,,,,,,,M18-SE,,,Methods: Deciding what to Design     ,Alberto Sillittii,,Evgeniy Bobrov  ,Ildar Nigmatullin ,,,
12:10-13:40,Analytical Geometry and Linear Algebra I     Sergey Gorodetskiy                    314,,Analytical Geometry and Linear Algebra I Ivan Konyukhov        312,,Analytical Geometry and Linear Algebra I Oleg Bulichev           313,,Data Modeling and Databases I                                Nikita Zhuchkov                                                316      ,,,Data Modeling and Databases I                                Subham Chakraborty                                                321    ,Physics I                                                                                                                                                                                                                                                                                                                                       Victor Nikiforov           318                ,,,,,,,,,,,,,,,,,,M18-SE,,,Managing Software Development                                                                              ,Andrey Sadovykh   ,,Evgeniy Bobrov  ,Ildar Nigmatullin ,,,
14:10-15:40,,,,Analytical Geometry and Linear Algebra I Ivan Konyukhov        312      ,,Analytical Geometry and Linear Algebra I Oleg Bulichev           313,,Data Modeling and Databases I                                Nikita Zhuchkov                                                316      ,,,Data Modeling and Databases I                                Subham Chakraborty                                                321    ,Physics I                                                                                                                                                                                                                                                                                                                                       Victor Nikiforov           318                ,Data Modeling and Databases I                                Nikolay Kudasov                                                306      ,,,,,,,,,,Optimization I                                                                                                                                   Andrey Tremba / Elena Gryazina                                                                                                                                                       107                                                                                                                                                                      Nov 9/10                                                       ,,,,,,M18-SE,,,Models of Software Development                                                                                                                                                                                                                                                                                                    ,Manuel Mazzara    ,,Alexandr Naumchev,Mansur Khazeev,,,
15:45-17:15,,Analytical Geometry and Linear Algebra I     Sergey Masyagin                     312,,,,,,,Data Modeling and Databases I                                Nikita Zhuchkov                                                316      ,Physics I                                                                                                                                                                                                                                                                                                                                       Victor Nikiforov           318                ,,Data Modeling and Databases I                                Subham Chakraborty                                                321    ,,,,,,,,,,,,,,,,,M18-DS,,,Metrics and Empirical Methods for Software Engineers and Data Scientists   ,Giancarlo Succi   ,,Ilya Khomyakov  ,,,,
17:20-18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M18-DS,,,Introduction to Machine Learning  ,Adil Khan ,,Muhammad Ahmad,Rustam Gafarov,,,
18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M18-DS,,,High-Dimensional Data Analysis                                                                                    ,Yaroslav Kholodov  ,,Ivan Grebenkin,,,,
20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M18-DS,,,Optimization I,Andrey Tremba / Elena Gryazina   ,,Vitaly Romanov,Muhammad Ahmad,,,
SATURDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00-10:30,,,,,,,,,,,,,,,,,,,,,,,Optimization I                                                                                                                                          Andrey Tremba / Elena Gryazina                                                                                                                                                 107                                                                                                                                                                      Nov 9/10                                                      ,,,,,,M18-RO,,,Introduction to Machine Learning  ,Adil Khan ,,Pavel Khakimov ,Rauf Yagfarov,,,
10:35-12:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M18-RO,,,Sensation and Perception                                                                                   ,Ilya Afanasyev  ,,Geesara Prathap   ,,,,
12:10-13:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M18-RO,,,Dynamics of Nonlinear Systems                                                                      ,Anton Shiryaev   ,,Ramil Khusainov,Shamil Mamedov,,,
14:10-15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M18-RO,,,Low and Embedded Level Programming ,Evgeniy Zuev  ,,Aidar Gabdullin,,,,
15:45-17:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:20-18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
